iter	Passed	Remaining
0	129	129645
1	131	65764
2	133	44312
3	134	33519
4	135	27061
5	137	22759
6	138	19701
7	140	17412
8	141	15635
9	143	14193
10	144	13031
11	146	12067
12	147	11229
13	149	10520
14	150	9908
15	152	9369
16	154	8934
17	156	8546
18	158	8178
19	160	7848
20	161	7536
21	163	7248
22	164	6988
23	166	6753
24	167	6543
25	169	6350
26	171	6180
27	173	6025
28	174	5855
29	176	5700
30	177	5553
31	178	5413
32	180	5284
33	182	5172
34	183	5059
35	185	4975
36	187	4886
37	189	4791
38	190	4698
39	192	4612
40	193	4529
41	195	4451
42	196	4381
43	198	4312
44	200	4257
45	202	4207
46	204	4143
47	205	4078
48	207	4019
49	208	3969
50	210	3914
51	212	3865
52	213	3819
53	216	3790
54	217	3745
55	219	3697
56	220	3652
57	222	3608
58	223	3566
59	224	3524
60	226	3484
61	227	3446
62	230	3421
63	232	3396
64	233	3362
65	235	3327
66	236	3294
67	238	3263
68	239	3234
69	241	3203
70	242	3173
71	244	3145
72	245	3121
73	247	3096
74	248	3069
75	250	3042
76	251	3016
77	253	2993
78	254	2968
79	256	2944
80	257	2921
81	258	2898
82	259	2870
83	261	2853
84	263	2834
85	264	2813
86	266	2793
87	267	2773
88	269	2754
89	270	2736
90	272	2717
91	273	2700
92	275	2684
93	276	2668
94	278	2651
95	279	2635
96	281	2619
97	282	2602
98	284	2585
99	285	2569
100	286	2553
101	288	2544
102	290	2532
103	292	2519
104	294	2507
105	296	2496
106	298	2487
107	299	2474
108	300	2459
109	302	2444
110	303	2433
111	305	2421
112	306	2408
113	308	2395
114	309	2381
115	310	2367
116	311	2351
117	312	2337
118	313	2324
119	315	2311
120	316	2298
121	317	2283
122	319	2276
123	321	2269
124	322	2258
125	323	2247
126	325	2234
127	326	2223
128	327	2211
129	328	2199
130	330	2189
131	331	2178
132	332	2167
133	334	2159
134	335	2150
135	337	2141
136	338	2131
137	339	2121
138	341	2112
139	342	2102
140	343	2092
141	344	2080
142	345	2072
143	347	2063
144	348	2055
145	350	2048
146	352	2044
147	353	2035
148	355	2027
149	356	2018
150	357	2010
151	358	2001
152	360	1993
153	361	1984
154	362	1977
155	364	1969
156	365	1963
157	366	1955
158	368	1948
159	370	1942
160	370	1933
161	372	1925
162	373	1919
163	375	1914
164	377	1908
165	379	1906
166	381	1901
167	382	1895
168	384	1891
169	386	1885
170	387	1878
171	388	1872
172	390	1865
173	391	1858
174	392	1851
175	394	1845
176	395	1840
177	397	1834
178	398	1827
179	399	1821
180	401	1816
181	402	1809
182	403	1802
183	405	1796
184	406	1790
185	407	1784
186	409	1780
187	411	1776
188	412	1770
189	414	1765
190	415	1759
191	416	1752
192	417	1747
193	419	1741
194	420	1734
195	421	1728
196	423	1724
197	424	1719
198	426	1715
199	427	1710
200	429	1706
201	430	1700
202	431	1695
203	433	1689
204	434	1684
205	435	1679
206	436	1673
207	438	1671
208	441	1669
209	442	1664
210	443	1659
211	445	1654
212	446	1649
213	447	1644
214	448	1638
215	449	1633
216	451	1628
217	452	1623
218	454	1620
219	456	1617
